Question,Answer
How many people are affected by spondylocarpotarsal synostosis syndrome ?,Spondylocarpotarsal synostosis syndrome is a rare disorder; its prevalence is unknown. At least 25 affected individuals have been identified.
What are the treatments for spondylocarpotarsal synostosis syndrome ?,These resources address the diagnosis or management of spondylocarpotarsal synostosis syndrome: - Gene Review: Gene Review: FLNB-Related Disorders - Genetic Testing Registry: Spondylocarpotarsal synostosis syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by nonsyndromic paraganglioma ?,"It is estimated that the prevalence of pheochromocytoma is 1 in 500,000 people, and the prevalence of other paragangliomas is 1 in 1 million people. These statistics include syndromic and nonsyndromic paraganglioma and pheochromocytoma."
What are the treatments for nonsyndromic paraganglioma ?,These resources address the diagnosis or management of nonsyndromic paraganglioma: - Genetic Testing Registry: Pheochromocytoma These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by hypomagnesemia with secondary hypocalcemia ?,"Hypomagnesemia with secondary hypocalcemia is thought to be a rare condition, but its prevalence is unknown."
Is hypomagnesemia with secondary hypocalcemia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for hypomagnesemia with secondary hypocalcemia ?,"These resources address the diagnosis or management of hypomagnesemia with secondary hypocalcemia: - Genetic Testing Registry: Hypomagnesemia 1, intestinal - MedlinePlus Encyclopedia: Hypomagnesemia These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by tetrasomy 18p ?,Tetrasomy 18p is a rare disorder. It is known to affect about 250 families worldwide.
Is tetrasomy 18p inherited ?,"Tetrasomy 18p is usually not inherited. The chromosomal change responsible for the disorder typically occurs as a random event during the formation of reproductive cells (eggs or sperm) in a parent of the affected individual, usually the mother. Most affected individuals have no history of the disorder in their family. However, rare inherited cases of tetrasomy 18p have been reported."
What are the treatments for tetrasomy 18p ?,"These resources address the diagnosis or management of tetrasomy 18p: - Chromosome 18 Clinical Research Center, University of Texas Health Science Center at San Antonio - Genetic Testing Registry: Chromosome 18, tetrasomy 18p These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by spinocerebellar ataxia type 3 ?,"The prevalence of SCA3 is unknown. This condition is thought to be the most common type of spinocerebellar ataxia; however, all types of spinocerebellar ataxia are relatively rare."
What are the treatments for spinocerebellar ataxia type 3 ?,These resources address the diagnosis or management of SCA3: - Gene Review: Gene Review: Spinocerebellar Ataxia Type 3 - Genetic Testing Registry: Azorean disease These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by inherited thyroxine-binding globulin deficiency ?,"The complete form of inherited thyroxine-binding globulin deficiency, TBG-CD, affects about 1 in 15,000 newborns worldwide. The partial form, TBG-PD, affects about 1 in 4,000 newborns. These conditions appear to be more common in the Australian Aborigine population and in the Bedouin population of southern Israel."
What are the treatments for inherited thyroxine-binding globulin deficiency ?,These resources address the diagnosis or management of inherited thyroxine-binding globulin deficiency: - American Thyroid Association: Thyroid Function Tests - MedlinePlus Encyclopedia: Serum TBG Level These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by lysinuric protein intolerance ?,"Lysinuric protein intolerance is estimated to occur in 1 in 60,000 newborns in Finland and 1 in 57,000 newborns in Japan. Outside these populations this condition occurs less frequently, but the exact incidence is unknown."
Is lysinuric protein intolerance inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Marfan syndrome ?,"The incidence of Marfan syndrome is approximately 1 in 5,000 worldwide."
Is Marfan syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. At least 25 percent of Marfan syndrome cases result from a new mutation in the FBN1 gene. These cases occur in people with no history of the disorder in their family."
How many people are affected by idiopathic pulmonary fibrosis ?,"Idiopathic pulmonary fibrosis has an estimated prevalence of 13 to 20 per 100,000 people worldwide. About 100,000 people are affected in the United States, and 30,000 to 40,000 new cases are diagnosed each year. Familial pulmonary fibrosis is less common than the sporadic form of the disease. Only a small percentage of cases of idiopathic pulmonary fibrosis appear to run in families."
What are the treatments for idiopathic pulmonary fibrosis ?,"These resources address the diagnosis or management of idiopathic pulmonary fibrosis: - Gene Review: Gene Review: Pulmonary Fibrosis, Familial - Genetic Testing Registry: Idiopathic fibrosing alveolitis, chronic form These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by Blau syndrome ?,"Although Blau syndrome appears to be uncommon, its prevalence is unknown."
Is Blau syndrome inherited ?,"Blau syndrome is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. Most affected individuals have one parent with the condition. In some cases, people with the characteristic features of Blau syndrome do not have a family history of the condition. Some researchers believe that these individuals have a non-inherited version of the disorder called early-onset sarcoidosis."
What are the treatments for Blau syndrome ?,"These resources address the diagnosis or management of Blau syndrome: - Genetic Testing Registry: Blau syndrome - Genetic Testing Registry: Sarcoidosis, early-onset - Merck Manual Consumer Version: Overview of Dermatitis - Merck Manual Consumer Version: Uveitis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by McKusick-Kaufman syndrome ?,"This condition was first described in the Old Order Amish population, where it affects an estimated 1 in 10,000 people. The incidence of McKusick-Kaufman syndrome in non-Amish populations is unknown."
Is McKusick-Kaufman syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for McKusick-Kaufman syndrome ?,These resources address the diagnosis or management of McKusick-Kaufman syndrome: - Gene Review: Gene Review: McKusick-Kaufman Syndrome - Genetic Testing Registry: McKusick Kaufman syndrome - MedlinePlus Encyclopedia: Polydactyly These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Caffey disease ?,"Caffey disease has been estimated to occur in approximately 3 per 1,000 infants worldwide. A few hundred cases have been described in the medical literature. Researchers believe this condition is probably underdiagnosed because it usually goes away by itself in early childhood."
What are the treatments for Caffey disease ?,These resources address the diagnosis or management of Caffey disease: - Cedars-Sinai: Skeletal Dysplasia - Gene Review: Gene Review: Caffey Disease - Genetic Testing Registry: Infantile cortical hyperostosis These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by argininosuccinic aciduria ?,"Argininosuccinic aciduria occurs in approximately 1 in 70,000 newborns."
Is argininosuccinic aciduria inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by familial dysautonomia ?,"Familial dysautonomia occurs primarily in people of Ashkenazi (central or eastern European) Jewish descent. It affects about 1 in 3,700 individuals in Ashkenazi Jewish populations. Familial dysautonomia is extremely rare in the general population."
Is familial dysautonomia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for familial dysautonomia ?,These resources address the diagnosis or management of familial dysautonomia: - Gene Review: Gene Review: Familial Dysautonomia - Genetic Testing Registry: Familial dysautonomia - MedlinePlus Encyclopedia: Riley-Day Syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Dandy-Walker malformation ?,"Dandy-Walker malformation is estimated to affect 1 in 10,000 to 30,000 newborns."
What are the treatments for Dandy-Walker malformation ?,These resources address the diagnosis or management of Dandy-Walker malformation: - Genetic Testing Registry: Dandy-Walker syndrome - National Hydrocephalus Foundation: Treatment of Hydrocephalus These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Danon disease ?,"Danon disease is a rare condition, but the exact prevalence is unknown."
What are the treatments for Danon disease ?,These resources address the diagnosis or management of Danon disease: - American Heart Association: Dilated Cardiomyopathy - Genetic Testing Registry: Danon disease - KidsHealth from Nemours: Getting an EKG - Swedish Information Centre for Rare Diseases These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by craniometaphyseal dysplasia ?,Craniometaphyseal dysplasia is a very rare disorder; its incidence is unknown.
How many people are affected by Waldenstrm macroglobulinemia ?,"Waldenstrm macroglobulinemia affects an estimated 3 per million people each year in the United States. Approximately 1,500 new cases of the condition are diagnosed each year in this country, and whites are more commonly affected than African Americans. For unknown reasons, the condition occurs twice as often in men than women."
Is Waldenstrm macroglobulinemia inherited ?,"Waldenstrm macroglobulinemia is usually not inherited, and most affected people have no history of the disorder in their family. The condition usually arises from mutations that are acquired during a person's lifetime (somatic mutations), which are not inherited. Some families seem to have a predisposition to the condition. Approximately 20 percent of people with Waldenstrm macroglobulinemia have a family member with the condition or another disorder involving abnormal B cells."
How many people are affected by Ghosal hematodiaphyseal dysplasia ?,Ghosal hematodiaphyseal dysplasia is a rare disorder; only a few cases have been reported in the medical literature. Most affected individuals have been from the Middle East and India.
Is Ghosal hematodiaphyseal dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by 15q13.3 microdeletion ?,"15q13.3 microdeletion likely occurs in about 1 in 40,000 people in the general population. It appears to be more common in people with intellectual disability, epilepsy, schizophrenia, or autism spectrum disorders."
What are the treatments for 15q13.3 microdeletion ?,These resources address the diagnosis or management of 15q13.3 microdeletion: - Gene Review: Gene Review: 15q13.3 Microdeletion - Genetic Testing Registry: 15q13.3 microdeletion syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by phosphoribosylpyrophosphate synthetase superactivity ?,PRS superactivity is believed to be a rare disorder. Approximately 30 families with the condition have been reported. More than two thirds of these families are affected by the milder form of the disease.
How many people are affected by neutral lipid storage disease with myopathy ?,Neutral lipid storage disease with myopathy is a rare condition; its incidence is unknown.
Is neutral lipid storage disease with myopathy inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for neutral lipid storage disease with myopathy ?,These resources address the diagnosis or management of neutral lipid storage disease with myopathy: - Genetic Testing Registry: Neutral lipid storage disease with myopathy - MedlinePlus Encyclopedia: Hypothyroidism - MedlinePlus Encyclopedia: Type 2 Diabetes These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by cytochrome P450 oxidoreductase deficiency ?,"The prevalence of cytochrome P450 oxidoreductase deficiency is unknown. About 65 cases have been reported worldwide. Researchers suspect that cytochrome P450 oxidoreductase deficiency is underdiagnosed and that mild cases of this disorder may be relatively common. Because the signs and symptoms can be difficult to detect, people with mild cytochrome P450 oxidoreductase deficiency may never come to medical attention."
Is cytochrome P450 oxidoreductase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Langer mesomelic dysplasia ?,"The prevalence of Langer mesomelic dysplasia is unknown, although the condition appears to be rare. Several dozen affected individuals have been reported in the scientific literature."
What are the treatments for Langer mesomelic dysplasia ?,These resources address the diagnosis or management of Langer mesomelic dysplasia: - Genetic Testing Registry: Langer mesomelic dysplasia syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Ochoa syndrome ?,Ochoa syndrome is a rare disorder. About 150 cases have been reported in the medical literature.
Is Ochoa syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by 5-alpha reductase deficiency ?,"5-alpha reductase deficiency is a rare condition; the exact incidence is unknown. Large families with affected members have been found in several countries, including the Dominican Republic, Papua New Guinea, Turkey, and Egypt."
What are the treatments for 5-alpha reductase deficiency ?,These resources address the diagnosis or management of 5-alpha reductase deficiency: - Genetic Testing Registry: 3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency - MedlinePlus Encyclopedia: Ambiguous Genitalia - MedlinePlus Encyclopedia: Intersex These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Pendred syndrome ?,"The prevalence of Pendred syndrome is unknown. However, researchers estimate that it accounts for 7 to 8 percent of all hearing loss that is present from birth (congenital hearing loss)."
Is Pendred syndrome inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by neurofibromatosis type 2 ?,"Neurofibromatosis type 2 has an estimated incidence of 1 in 33,000 people worldwide."
How many people are affected by mitochondrial neurogastrointestinal encephalopathy disease ?,The prevalence of MNGIE disease is unknown. About 70 people with this disorder have been reported.
Is mitochondrial neurogastrointestinal encephalopathy disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the TYMP gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by corticosteroid-binding globulin deficiency ?,"The prevalence of corticosteroid-binding globulin deficiency is unknown, but it is thought to be a rare disorder. However, because some people with the disorder have mild or no symptoms, it is likely that corticosteroid-binding globulin deficiency is underdiagnosed."
What are the treatments for corticosteroid-binding globulin deficiency ?,These resources address the diagnosis or management of corticosteroid-binding globulin deficiency: - American Heart Association: Understanding Blood Pressure Readings - Genetic Testing Registry: Corticosteroid-binding globulin deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by iron-refractory iron deficiency anemia ?,"Although iron deficiency anemia is relatively common, the prevalence of the iron-refractory form of the disease is unknown. At least 50 cases have been described in the medical literature. Researchers suspect that iron-refractory iron deficiency anemia is underdiagnosed because affected individuals with very mild symptoms may never come to medical attention."
Is iron-refractory iron deficiency anemia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for iron-refractory iron deficiency anemia ?,"These resources address the diagnosis or management of iron-refractory iron deficiency anemia: - National Heart, Lung, and Blood Institute: How is Anemia Diagnosed? - National Heart, Lung, and Blood Institute: How is Anemia Treated? These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by thiopurine S-methyltransferase deficiency ?,Studies suggest that less than 1 percent of individuals in the general population have TPMT deficiency. Another 11 percent have moderately reduced levels of TPMT activity that increase their risk of hematopoietic toxicity with thiopurine drug treatment.
What are the treatments for thiopurine S-methyltransferase deficiency ?,These resources address the diagnosis or management of thiopurine S-methyltransferase deficiency: - MedlinePlus Drug: Azathioprine - MedlinePlus Drug: Mercaptopurine - MedlinePlus Drug: Thioguanine These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by progressive external ophthalmoplegia ?,The prevalence of progressive external ophthalmoplegia is unknown.
How many people are affected by alveolar capillary dysplasia with misalignment of pulmonary veins ?,ACD/MPV is a rare disorder; its incidence is unknown. Approximately 200 infants with this disorder have been identified worldwide.
What are the treatments for alveolar capillary dysplasia with misalignment of pulmonary veins ?,These resources address the diagnosis or management of ACD/MPV: - Genetic Testing Registry: Alveolar capillary dysplasia with misalignment of pulmonary veins - MedlinePlus Encyclopedia: Alveolar Abnormalities These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by diastrophic dysplasia ?,"Although the exact incidence of this condition is unknown, researchers estimate that it affects about 1 in 100,000 newborns. Diastrophic dysplasia occurs in all populations but appears to be particularly common in Finland."
Is diastrophic dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for diastrophic dysplasia ?,These resources address the diagnosis or management of diastrophic dysplasia: - Gene Review: Gene Review: Diastrophic Dysplasia - Genetic Testing Registry: Diastrophic dysplasia These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by primary carnitine deficiency ?,"The incidence of primary carnitine deficiency in the general population is approximately 1 in 100,000 newborns. In Japan, this disorder affects 1 in every 40,000 newborns."
Is primary carnitine deficiency inherited ?,"Primary carnitine deficiency is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. Most often, the parents of an individual with an autosomal recessive disorder are carriers, which means they each carry one copy of the mutated gene. Carriers of SLC22A5 gene mutations may have some signs and symptoms related to the condition."
How many people are affected by multiple sulfatase deficiency ?,Multiple sulfatase deficiency is estimated to occur in 1 per million individuals worldwide. Approximately 50 cases have been reported in the scientific literature.
Is multiple sulfatase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for multiple sulfatase deficiency ?,These resources address the diagnosis or management of multiple sulfatase deficiency: - Genetic Testing Registry: Multiple sulfatase deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by inclusion body myopathy 2 ?,"More than 200 people with inclusion body myopathy 2 have been reported. Most are of Iranian Jewish descent; the condition affects an estimated 1 in 1,500 people in this population. Additionally, at least 15 people in the Japanese population have been diagnosed with this disorder. Inclusion body myopathy 2 has also been found in several other ethnic groups worldwide."
Is inclusion body myopathy 2 inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for inclusion body myopathy 2 ?,These resources address the diagnosis or management of inclusion body myopathy 2: - Gene Review: Gene Review: GNE-Related Myopathy - Genetic Testing Registry: Inclusion body myopathy 2 - Genetic Testing Registry: Nonaka myopathy These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by lactate dehydrogenase deficiency ?,"Lactate dehydrogenase deficiency is a rare disorder. In Japan, this condition affects 1 in 1 million individuals; the prevalence of lactate dehydrogenase deficiency in other countries is unknown."
Is lactate dehydrogenase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Kallmann syndrome ?,"Kallmann syndrome is estimated to affect 1 in 10,000 to 86,000 people and occurs more often in males than in females. Kallmann syndrome 1 is the most common form of the disorder."
How many people are affected by Bardet-Biedl syndrome ?,"In most of North America and Europe, Bardet-Biedl syndrome has a prevalence of 1 in 140,000 to 1 in 160,000 newborns. The condition is more common on the island of Newfoundland (off the east coast of Canada), where it affects an estimated 1 in 17,000 newborns. It also occurs more frequently in the Bedouin population of Kuwait, affecting about 1 in 13,500 newborns."
Is Bardet-Biedl syndrome inherited ?,"Bardet-Biedl syndrome is typically inherited in an autosomal recessive pattern, which means both copies of a BBS gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for Bardet-Biedl syndrome ?,These resources address the diagnosis or management of Bardet-Biedl syndrome: - Gene Review: Gene Review: Bardet-Biedl Syndrome - Genetic Testing Registry: Bardet-Biedl syndrome - MedlinePlus Encyclopedia: Obesity - MedlinePlus Encyclopedia: Polydactyly These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by 3-beta-hydroxysteroid dehydrogenase deficiency ?,The exact prevalence of 3-HSD deficiency is unknown. At least 60 affected individuals have been reported.
Is 3-beta-hydroxysteroid dehydrogenase deficiency inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by popliteal pterygium syndrome ?,"Popliteal pterygium syndrome is a rare condition, occurring in approximately 1 in 300,000 individuals."
Is popliteal pterygium syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder."
What are the treatments for popliteal pterygium syndrome ?,These resources address the diagnosis or management of popliteal pterygium syndrome: - Gene Review: Gene Review: IRF6-Related Disorders - Genetic Testing Registry: Popliteal pterygium syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by white sponge nevus ?,"The exact prevalence of white sponge nevus is unknown, but it is estimated to affect less than 1 in 200,000 individuals worldwide."
Is white sponge nevus inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell can be sufficient to cause the disorder. However, some people who have a mutation that causes white sponge nevus do not develop these abnormal growths; this phenomenon is called reduced penetrance."
What are the treatments for white sponge nevus ?,These resources address the diagnosis or management of white sponge nevus: - Genetic Testing Registry: White sponge nevus of cannon These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Maffucci syndrome ?,"Maffucci syndrome is very rare. Since it was first described in 1881, fewer than 200 cases have been reported worldwide."
What are the treatments for Maffucci syndrome ?,These resources address the diagnosis or management of Maffucci syndrome: - Genetic Testing Registry: Maffucci syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by hereditary antithrombin deficiency ?,"Hereditary antithrombin deficiency is estimated to occur in about 1 in 2,000 to 3,000 individuals. Of people who have experienced an abnormal blood clot, about 1 in 20 to 200 have hereditary antithrombin deficiency."
Is hereditary antithrombin deficiency inherited ?,"Hereditary antithrombin deficiency is typically inherited in an autosomal dominant pattern, which means one altered copy of the SERPINC1 gene in each cell is sufficient to cause the disorder. Inheriting two altered copies of this gene in each cell is usually incompatible with life; however, a few severely affected individuals have been reported with mutations in both copies of the SERPINC1 gene in each cell."
What are the treatments for hereditary antithrombin deficiency ?,These resources address the diagnosis or management of hereditary antithrombin deficiency: - Genetic Testing Registry: Antithrombin III deficiency - MedlinePlus Encyclopedia: Blood Clots - MedlinePlus Encyclopedia: Congenital Antithrombin III Deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by glycogen storage disease type V ?,"GSDV is a rare disorder; however, its prevalence is unknown. In the Dallas-Fort Worth area of Texas, where the prevalence of GSDV has been studied, the condition is estimated to affect 1 in 100,000 individuals."
Is glycogen storage disease type V inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
What are the treatments for glycogen storage disease type V ?,"These resources address the diagnosis or management of glycogen storage disease type V: - Gene Review: Gene Review: Glycogen Storage Disease Type V - Genetic Testing Registry: Glycogen storage disease, type V - MedlinePlus Encyclopedia: McArdle syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care"
How many people are affected by COL4A1-related brain small-vessel disease ?,"COL4A1-related brain small-vessel disease is a rare condition, although the exact prevalence is unknown. At least 50 individuals with this condition have been described in the scientific literature."
Is COL4A1-related brain small-vessel disease inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition. Rarely, new mutations in the gene occur in people with no history of the disorder in their family."
What are the treatments for COL4A1-related brain small-vessel disease ?,These resources address the diagnosis or management of COL4A1-related brain small-vessel disease: - Gene Review: Gene Review: COL4A1-Related Disorders - Genetic Testing Registry: Brain small vessel disease with hemorrhage These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care
How many people are affected by Canavan disease ?,"While this condition occurs in people of all ethnic backgrounds, it is most common in people of Ashkenazi (eastern and central European) Jewish heritage. Studies suggest that this disorder affects 1 in 6,400 to 13,500 people in the Ashkenazi Jewish population. The incidence in other populations is unknown."
Is Canavan disease inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
How many people are affected by Brugada syndrome ?,"The exact prevalence of Brugada syndrome is unknown, although it is estimated to affect 5 in 10,000 people worldwide. This condition occurs much more frequently in people of Asian ancestry, particularly in Japanese and Southeast Asian populations. Although Brugada syndrome affects both men and women, the condition appears to be 8 to 10 times more common in men. Researchers suspect that testosterone, a sex hormone present at much higher levels in men, may account for this difference."
